,date,runoff_corrected
0,2000-01-31,0.0441915309330158
1,2000-02-29,0.03169892553575667
2,2000-03-31,0.044340642983804704
3,2000-04-30,0.18649594450164236
4,2000-05-31,1.7646301143422871
5,2000-06-30,0.9592889969733945
6,2000-07-31,0.5158859850991528
7,2000-08-31,0.3550149527751181
8,2000-09-30,0.1863567940091676
9,2000-10-31,0.13815495928289864
10,2000-11-30,0.08243927297235826
11,2000-12-31,0.05450921562274991
12,2001-01-31,0.041159683088990526
13,2001-02-28,0.0339566483510175
14,2001-03-31,0.04201021427834929
15,2001-04-30,0.1529119586641964
16,2001-05-31,1.1804360196881214
17,2001-06-30,1.2039853132599148
18,2001-07-31,0.4818772585931904
19,2001-08-31,0.3112480633382449
20,2001-09-30,0.16323071991972346
21,2001-10-31,0.11452901290443096
22,2001-11-30,0.0682648454313822
23,2001-12-31,0.048553848347863464
24,2002-01-31,0.03930283862960031
25,2002-02-28,0.036082798761695796
26,2002-03-31,0.060348826015908026
27,2002-04-30,0.1316876282401238
28,2002-05-31,0.7608383327830366
29,2002-06-30,2.2437164683106414
30,2002-07-31,1.349488074109591
31,2002-08-31,0.6505837454981984
32,2002-09-30,0.20798607945676265
33,2002-10-31,0.11432990376283453
34,2002-11-30,0.08178497883658796
35,2002-12-31,0.05068793967039923
36,2003-01-31,0.03778463033795347
37,2003-02-28,0.0569297252935085
38,2003-03-31,0.10044651496346373
39,2003-04-30,0.16344830448972464
40,2003-05-31,0.4342353750240791
41,2003-06-30,2.998609494474383
42,2003-07-31,2.449247135768856
43,2003-08-31,0.5288105222741722
44,2003-09-30,0.24505309042833212
45,2003-10-31,0.12359051748003465
46,2003-11-30,0.07893143095794135
47,2003-12-31,0.05665507195120634
48,2004-01-31,0.05360728243788298
49,2004-02-29,0.05626682097834299
50,2004-03-31,0.10656235764506523
51,2004-04-30,0.19853296883976876
52,2004-05-31,0.7138879812799704
53,2004-06-30,2.4167877013388335
54,2004-07-31,1.3457775427633212
55,2004-08-31,0.41201582589322217
56,2004-09-30,0.18543818344923196
57,2004-10-31,0.12049483767695994
58,2004-11-30,0.06991287842474667
59,2004-12-31,0.05695550054131451
60,2005-01-31,0.04020413214729121
61,2005-02-28,0.08611467061868847
62,2005-03-31,0.15622722198460046
63,2005-04-30,0.18409956413259787
64,2005-05-31,0.5480702813037611
65,2005-06-30,2.7895543354285466
66,2005-07-31,3.077166772423772
67,2005-08-31,0.5646762938901281
68,2005-09-30,0.20480850816619467
69,2005-10-31,0.11646498179035053
70,2005-11-30,0.0694874951460592
71,2005-12-31,0.04739223241803391
72,2006-01-31,0.036826360034026805
73,2006-02-28,0.04398858927555696
74,2006-03-31,0.05013102973546215
75,2006-04-30,0.11786782428656405
76,2006-05-31,2.4394697602700317
77,2006-06-30,1.8869467435259817
78,2006-07-31,0.8903800027407278
79,2006-08-31,0.7228302909822585
80,2006-09-30,0.27266418746099313
81,2006-10-31,0.14402783090623933
82,2006-11-30,0.09173191366714337
83,2006-12-31,0.06925269330033132
84,2007-01-31,0.04625378165108792
85,2007-02-28,0.05525515527777033
86,2007-03-31,0.1504611915629243
87,2007-04-30,0.5111511721567964
88,2007-05-31,1.8237957003475542
